"область","город","точки","Численность постоянного населения на 1 января текущего года","Количество стационарных источников загрязнения атмосферы на конец года, имеющихся у юридических лиц","Количество стационарных источников загрязнения атмосферы на конец года, имеющихся у юридических лиц.1","Cluster","широта","долгота"
"Архангельская область","Вельский муниципальный район","2019","433","211","85","2","61.561"," 40.539"
"Архангельская область","Верхнетоемский муниципальный район","2019","149","115","30","2","61.250"," 40.834"
"Архангельская область","Вилегодский муниципальный район","2019","62","30","25","2","61.400"," 40.221"
"Архангельская область","Виноградовский муниципальный район","2019","75","70","32","2","61.350"," 39.705"
"Архангельская область","Каргопольский муниципальный район","2019","38","24","19","2","61.780"," 38.083"
"Архангельская область","Коношский муниципальный район","2019","146","89","27","2","61.360"," 40.280"
"Архангельская область","Котласский муниципальный район","2019","426","303","54","2","61.250"," 46.300"
"Архангельская область","Красноборский муниципальный район","2019","67","30","17","2","61.072"," 42.171"
"Архангельская область","Ленский муниципальный район","2019","338","248","31","2","60.694"," 40.655"
"Архангельская область","Лешуконский муниципальный район","2019","152","131","40","2","61.134"," 39.633"
"Архангельская область","Мезенский муниципальный район","2019","399","316","82","2","61.580"," 42.177"
"Архангельская область","Няндомский муниципальный район","2019","190","128","46","2","60.905"," 39.475"
"Архангельская область","Онежский муниципальный район","2019","409","179","54","2","61.605"," 38.020"
"Архангельская область","Пинежский муниципальный район","2019","338","255","82","2","61.158"," 40.596"
"Архангельская область","Плесецкий муниципальный район","2019","362","250","84","2","62.018"," 40.539"
"Архангельская область","Приморский муниципальный район","2019","588","426","94","2","61.553"," 40.755"
"Архангельская область","Устьянский муниципальный район","2019","131","70","23","2","60.658"," 39.400"
"Архангельская область","Холмогорский муниципальный район","2019","203","137","40","2","61.556"," 39.036"
"Архангельская область","Шенкурский муниципальный район","2019","115","97","29","2","61.119"," 39.715"
"Архангельская область","город Архангельск","2019","1668","1120","208","2","64.538"," 40.534"
"Архангельская область","Котлас","2019","929","624","87","2","61.250"," 46.300"
